,BTC,XRP,4b. close (USD),4b. close (USD),4b. close (USD)
2020-07-23,9603.27,0.20851,275.3,44.94,0.0032997
2020-07-24,9537.8,0.20392,279.15,44.11,0.0032113
2020-07-25,9700.42,0.21463,305.26,49.16,0.0032475
2020-07-26,9931.54,0.21532,311.0,48.1,0.0032323
2020-07-27,11029.96,0.22437,321.93,53.28,0.0031694
2020-07-28,10906.27,0.23029,316.77,55.75,0.003188
2020-07-29,11100.53,0.24327,317.71,55.16,0.0031663
2020-07-30,11099.61,0.24408,334.87,56.75,0.0032281
2020-07-31,11335.46,0.25939,346.33,58.13,0.003224
2020-08-01,11801.17,0.29089,387.0,61.65,0.0037144
2020-08-02,11071.35,0.28803,372.42,56.77,0.0033312
2020-08-03,11219.81,0.31016,385.94,58.48,0.0033818
2020-08-04,11191.97,0.30138,389.61,57.61,0.0035458
2020-08-05,11744.91,0.30228,400.72,58.88,0.0035028
2020-08-06,11762.46,0.30311,394.77,59.03,0.00356
2020-08-07,11594.23,0.29437,379.34,57.17,0.003496
2020-08-08,11761.41,0.29527,397.03,58.46,0.0035134
2020-08-09,11681.68,0.2879,390.14,56.96,0.0034664
2020-08-10,11892.92,0.29469,395.44,58.27,0.0034952
2020-08-11,11392.08,0.2831,379.0,54.1,0.0033906
2020-08-12,11564.33,0.28233,387.18,54.52,0.0034606
2020-08-13,11780.0,0.2942,424.54,57.14,0.0034877
2020-08-14,11760.54,0.29995,438.11,56.78,0.0035731
2020-08-15,11852.4,0.29884,432.32,59.85,0.0035328
2020-08-16,11911.0,0.30455,433.62,63.87,0.0035302
2020-08-17,12281.13,0.31539,430.89,67.22,0.0035877
2020-08-18,11945.01,0.30251,421.95,65.4,0.003476
2020-08-19,11754.59,0.28975,407.46,62.12,0.0034196
2020-08-20,11853.55,0.29218,415.94,62.8,0.0034399
2020-08-21,11531.34,0.27933,387.97,59.2,0.0033776
2020-08-22,11662.96,0.28592,395.24,60.21,0.0034331
2020-08-23,11648.13,0.2848,390.71,60.55,0.0033955
2020-08-24,11748.2,0.2884,407.68,62.02,0.0034116
2020-08-25,11318.42,0.27625,382.93,58.34,0.0032907
2020-08-26,11461.43,0.27653,385.81,58.1,0.0032939
2020-08-27,11330.38,0.26469,383.27,56.1,0.0031997
2020-08-28,11526.91,0.27174,395.11,57.38,0.0032637
2020-08-29,11465.84,0.2738,398.65,56.97,0.0032749
2020-08-30,11711.16,0.28302,428.94,62.89,0.0032981
2020-08-31,11649.51,0.28115,433.79,60.92,0.0032073
2020-09-01,11921.97,0.29521,475.4,62.69,0.0032411
2020-09-02,11388.54,0.27595,439.5,58.06,0.0031161
2020-09-03,10140.85,0.24409,381.4,47.28,0.0027692
2020-09-04,10446.25,0.25385,385.26,50.32,0.0028797
2020-09-05,10166.69,0.23738,335.01,47.83,0.002764
2020-09-06,10256.2,0.23986,352.8,47.92,0.0027859
2020-09-07,10373.44,0.24198,353.59,48.84,0.0028151
2020-09-08,10126.65,0.23657,337.39,47.47,0.002747
2020-09-09,10219.2,0.23901,350.85,47.82,0.002779
2020-09-10,10336.87,0.24302,367.93,48.67,0.0028077
2020-09-11,10387.89,0.24252,373.63,48.96,0.0027956
2020-09-12,10440.92,0.24752,387.78,50.8,0.0028141
2020-09-13,10332.83,0.24218,366.42,48.15,0.002783
2020-09-14,10671.77,0.24564,377.12,49.08,0.0027851
2020-09-15,10785.31,0.24331,364.06,48.31,0.0028278
2020-09-16,10954.01,0.24686,365.11,47.76,0.0028053
2020-09-17,10939.99,0.25214,389.36,48.85,0.0028078
